filename,phoneme,start,end,duration,jitter,shimmer,hnr
Aardema_maiden_t.wav,ɔ,21.62,21.68,60.0,,,
Aardema_maiden_t.wav,ɛ,21.76,21.84,80.0,,,6.699
Aardema_maiden_t.wav,aɪ,22.06,22.15,90.0,,,6.224
Aardema_maiden_t.wav,ʊ,22.26,22.33,70.0,,,
Aardema_maiden_t.wav,ʊ,22.39,22.43,40.0,,,
Aardema_maiden_t.wav,ɛ,22.48,22.52,40.0,,,
Aardema_maiden_t.wav,ɔ,22.7,22.74,40.0,,,
Aardema_maiden_t.wav,ɪ,22.83,22.89,60.0,,,
Aardema_maiden_t.wav,ʊ,22.95,23.01,60.0,,,
Aardema_maiden_t.wav,a,23.08,23.16,80.0,,,-0.2
Aardema_maiden_t.wav,ʊ,24.34,24.39,50.0,,,
Aardema_maiden_t.wav,oː,24.44,24.5,60.0,,,
Aardema_maiden_t.wav,ʊ,24.55,24.59,40.0,,,
Aardema_maiden_t.wav,ɛ,24.64,24.69,50.0,,,
Aardema_maiden_t.wav,ɔ,24.87,24.94,70.0,,,
Aardema_maiden_t.wav,ə,24.99,25.03,40.0,,,
Aardema_maiden_t.wav,ɔ,25.11,25.16,50.0,,,
Aardema_maiden_t.wav,ə,25.21,25.26,50.0,,,
Aardema_maiden_t.wav,a,25.32,25.37,50.0,,,
Aardema_maiden_t.wav,iː,25.52,25.59,70.0,,,
Aardema_maiden_t.wav,eː,25.67,25.82,150.0,,,7.03
Aardema_maiden_t.wav,ɛ,25.82,25.95,130.0,,,2.027
Aardema_maiden_t.wav,a,26.02,26.08,60.0,,,
Aardema_maiden_t.wav,oː,26.18,26.28,100.0,,,0.877
Aardema_maiden_t.wav,aɪ,26.38,26.45,70.0,,,
Aardema_maiden_t.wav,ɪ,26.51,26.55,40.0,,,
Aardema_maiden_t.wav,iː,26.66,26.75,90.0,,,5.572
Aardema_maiden_t.wav,ɪ,26.84,26.9,60.0,,,
Aardema_maiden_t.wav,ə,26.95,27.0,50.0,,,
Aardema_maiden_t.wav,a,27.15,27.25,100.0,,,8.015
Aardema_maiden_t.wav,ə,27.42,27.5,80.0,,,2.35
Aardema_maiden_t.wav,ʊ,27.57,27.66,90.0,,,0.23
Aardema_maiden_t.wav,a,27.78,27.88,100.0,,,5.583
Aardema_maiden_t.wav,ə,28.69,28.73,40.0,,,
